"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2706","verifyAddition","Surefire suite","Wed Feb 11 16:57:28 UTC 2026","passed","Wed Feb 11 16:57:31 UTC 2026","com.api.tests.calculator.CalculatorTest","Surefire test","com.api.tests.calculator.CalculatorTest","verifyAddition"
"","168","verifyMultiplication","Surefire suite","Wed Feb 11 16:57:31 UTC 2026","passed","Wed Feb 11 16:57:31 UTC 2026","com.api.tests.calculator.CalculatorTest","Surefire test","com.api.tests.calculator.CalculatorTest","verifyMultiplication"
"","149","verifyDivision","Surefire suite","Wed Feb 11 16:57:31 UTC 2026","passed","Wed Feb 11 16:57:31 UTC 2026","com.api.tests.calculator.CalculatorTest","Surefire test","com.api.tests.calculator.CalculatorTest","verifyDivision"
"","151","verifySubtraction","Surefire suite","Wed Feb 11 16:57:31 UTC 2026","passed","Wed Feb 11 16:57:31 UTC 2026","com.api.tests.calculator.CalculatorTest","Surefire test","com.api.tests.calculator.CalculatorTest","verifySubtraction"
